OPTD: OPT Done
YD: Written to extract write set
CTD: Test Done

R1: Optimizing sal/sar/shr and the flag updates; Is the path count mask > 64 ever reached, Testing of sarxq_r64_r64_r64 shows its not.
#R2: concate over extract cm(ex1, cm(ex2,...)) can we concat ex1 and ex2 
R3: adc flags
#R4: B orBool B



sqrtps_xmm_xmm	1	8	
unpcklpd_xmm_xmm	1	7	
vaddps_xmm_xmm_xmm	1	12	
vbroadcastsd_ymm_xmm	1	9	
vbroadcastss_xmm_xmm	1	10	
vcvtsd2sil_r32_xmm	1	14	US
vcvtss2sd_xmm_xmm_xmm	1	6	
vcvtss2sil_r32_xmm	1	9	US
vcvttpd2dq_xmm_xmm	1	6	US
vcvttsd2sil_r32_xmm	1	8	US
vfmadd231pd_ymm_ymm_ymm	1	2	
vfmadd231ps_xmm_xmm_xmm	1	13	
vfmsub132ps_xmm_xmm_xmm	1	10	
vfnmsub231ps_xmm_xmm_xmm	1	15	
vmaxps_xmm_xmm_xmm	1	7	
vminps_xmm_xmm_xmm	1	9	
vmovapd_ymm_ymm	1	3:CCKRT	
vmovaps_ymm_ymm	1	1:CCKRT	
vmovddup_xmm_xmm	1	6	
vmovlhps_xmm_xmm_xmm	1	8	
vmovsd_xmm_xmm_xmm	1	9	
vmovss_xmm_xmm_xmm	1	12:OPTD:R2	
vmovups_ymm_ymm	1	5:CCKRT	
vorps_xmm_xmm_xmm	1	6	
vpbroadcastq_ymm_xmm	1	9	
vpxor_xmm_xmm_xmm	1	8	
vsqrtpd_xmm_xmm	1	8	
vsubpd_xmm_xmm_xmm	1	7	
xaddb_r8_r8	1	14	
xaddl_r32_r32	1	8	
xaddq_r64_r64	1	8	
xchgl_eax_r32	1	6	
xchgl_r32_eax	1	8	
xchgq_r64_rax	1	7
xchgq_rax_r64	1	5
xchgw_r16_ax	1	6	
xorb_r8_rh	1	9	
xorl_r32_r32	1	8	
xorps_xmm_xmm	1	8	

Stratum 2	90		
adcb_r8_rh	2	7	
adcb_rh_rh	2	11	
addb_r8_r8	2	15	
addl_r32_r32	2	9	
addps_xmm_xmm	2	14	
addsd_xmm_xmm	2	10	
addss_xmm_xmm	2	20	
cvtdq2pd_xmm_xmm	2	10	
cvtdq2ps_xmm_xmm	2	7	
cvtpd2ps_xmm_xmm	2	7	
cvtsd2sil_r32_xmm	2	14	
cvtsd2ss_xmm_xmm	2	21	
cvttpd2dq_xmm_xmm	2	8	
cwtl	2	26	
decl_r32	2	15	
decw_r16	2	13	
divsd_xmm_xmm	2	11	
maxps_xmm_xmm	2	9	
minps_xmm_xmm	2	11	
movb_r8_r8	2	22	
movl_r32_r32	2	9	
movzbl_r32_r8	2	8	
negw_r16	2	21	
notl_r32	2	10	
notq_r64	2	7	
orpd_xmm_xmm	2	9	
pmovzxdq_xmm_xmm	2	21	
punpcklqdq_xmm_xmm	2	5	
pxor_xmm_xmm	2	8	
rolb_r8_one	2	18	
salb_r8_one	2	8	
sall_r32_one	2	7	
salq_r64_one	2	13	
setge_r8	2	26	
setl_rh	2	13	
setnae_r8	2	7	
setnb_rh	2	7	
setnbe_r8	2	14	
setnc_rh	2	9	
setne_rh	2	5	
setns_r8	2	12	
setpe_r8	2	8	
shlb_rh_one	2	13	
shrxq_r64_r64_r64	2	20	
sqrtpd_xmm_xmm	2	12	
sqrtsd_xmm_xmm	2	20	
sqrtss_xmm_xmm	2	23	
subps_xmm_xmm	2	15	
subsd_xmm_xmm	2	26	
unpckhpd_xmm_xmm	2	6	
vaddss_xmm_xmm_xmm	2	24	
vandnps_xmm_xmm_xmm	2	14	
vbroadcastss_ymm_xmm	2	22	
vcvtpd2dqx_xmm_xmm	2	10	
vdivpd_xmm_xmm_xmm	2	18	
vdivps_xmm_xmm_xmm	2	16	
vfmadd213ss_xmm_xmm_xmm	2	25	
vfmsub231ps_xmm_xmm_xmm	2	13	
vfmsub231ss_xmm_xmm_xmm	2	20	
vfnmadd213ps_xmm_xmm_xmm	2	18	
vfnmsub132ps_xmm_xmm_xmm	2	20	
vfnmsub132ss_xmm_xmm_xmm	2	28	
vfnmsub213ps_xmm_xmm_xmm	2	20	
vhaddpd_xmm_xmm_xmm	2	22	
vmaxpd_xmm_xmm_xmm	2	11	
vmaxsd_xmm_xmm_xmm	2	18	
vmaxss_xmm_xmm_xmm	2	19	
vminpd_xmm_xmm_xmm	2	11	
vmovd_r32_xmm	2	5	
vmovddup_ymm_ymm	2	12	
vmovq_xmm_xmm	2	11	
vmovsldup_xmm_xmm	2	26	
vmulpd_xmm_xmm_xmm	2	14	
vmulsd_xmm_xmm_xmm	2	13	
vmulss_xmm_xmm_xmm	2	16	
vpaddq_xmm_xmm_xmm	2	14	
vpbroadcastd_xmm_xmm	2	12	
vpbroadcastd_ymm_xmm	2	16	
vpor_xmm_xmm_xmm	2	9	
vrcpss_xmm_xmm_xmm	2	25	
vsubss_xmm_xmm_xmm	2	22	
vunpcklpd_xmm_xmm_xmm	2	7	
