VMOVDQU	x86-movups/movupd/movdqu-op/en-rm
VPCMPEQB	x86-pcmpeqb-op/en-rm
VMOVQU	x86-movups/movupd/movdqu-op/en-mr
JO	x86-two-byte-jcc
JNO	x86-two-byte-jcc
JB/NAE/C	x86-two-byte-jcc
JNB/AE/NC	x86-two-byte-jcc
JZ/E	x86-two-byte-jcc
JNZ/NE	x86-two-byte-jcc
JBE/NA	x86-two-byte-jcc
JNBE/A	x86-two-byte-jcc
JS	x86-two-byte-jcc
JNS	x86-two-byte-jcc
JP/PE	x86-two-byte-jcc
JNP/PO	x86-two-byte-jcc
JL/NGE	x86-two-byte-jcc
JNL/GE	x86-two-byte-jcc
JLE/NG	x86-two-byte-jcc
JNLE/G	x86-two-byte-jcc
SETO	x86-setcc
SETNO	x86-setcc
SETB/NAE/C	x86-setcc
SETNB/AE/NC	x86-setcc
SETZ/E	x86-setcc
SETNZ/NE	x86-setcc
SETBE/NA	x86-setcc
SETNBE/A	x86-setcc
SETS	x86-setcc
SETNS	x86-setcc
SETP/PE	x86-setcc
SETNP/PO	x86-setcc
SETL/NGE	x86-setcc
SETNL/GE	x86-setcc
SETLE/NG	x86-setcc
SETNLE/G	x86-setcc
PUSH	x86-push-segment-register
BT	x86-bt-0f-a3
PUSH	x86-push-segment-register
LDMXCSR	((:reg 2) (:mod :mem))	x86-ldmxcsr/stmxcsr-op/en-m
STMXCSR	((:reg 3) (:mod :mem))	x86-ldmxcsr/stmxcsr-op/en-m
IMUL	x86-imul-op/en-rm
CMPXCHG	x86-cmpxchg
CMPXCHG	x86-cmpxchg
MOVZX	x86-movzx
MOVZX	x86-movzx
BT	((:reg 4))	x86-bt-0f-ba
BSF	x86-bsf-op/en-rm
MOVSX	x86-two-byte-movsxd
MOVSX	x86-two-byte-movsxd
VCMPPD	x86-cmppd-op/en-rmi
VCMPSD	x86-cmpss/cmpsd-op/en-rmi -- 
VCMPSS	x86-cmpss/cmpsd-op/en-rmi -- 
VCMPPS	x86-cmpps-op/en-rmi
VSHUFPD	x86-shufpd-op/en-rmi
VSHUFPS	x86-shufps-op/en-rmi
RDRAND	((:reg 6) (:mod 3))	x86-rdrand
VPMOVMSKB	x86-pmovmskb-op/en-rm
VPAND	x86-andp?/andnp?/orp?/xorp?/pand/pandn/por/pxor-op/en-rm -- 
VPANDN	x86-andp?/andnp?/orp?/xorp?/pand/pandn/por/pxor-op/en-rm -- 
